refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),color_text,eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,50,0,2,0,2,1.0,49.0,1.0,0.2959163,0.0,0.021075711012829217
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,51,0,1,0,2,1.0,50.0,0.0,0.2474492,1.0,0.0183489118882868
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,52,0,2,1,2,1.0,51.0,1.0,0.2776856,1.0,0.02373330203489854
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,53,0,1,1,2,1.0,52.0,1.0,0.3011874,1.0,0.01798930257846178
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,54,0,1,1,2,1.0,53.0,1.0,0.249126,1.0,0.017636741035637882
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,55,0,2,1,2,1.0,54.0,1.0,0.3117898,1.0,0.02326816729466978
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,56,0,2,1,2,1.0,55.0,1.0,0.2674205,1.0,0.022812148451009043
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,57,0,2,0,2,1.0,56.0,0.0,0.3440251,1.0,0.02236506684693147
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,58,0,1,1,2,1.0,57.0,1.0,0.318319,1.0,0.01729108913486021
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,59,0,1,0,2,1.0,58.0,0.0,0.4348285,1.0,0.01629425032339594
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,60,0,2,0,2,1.0,59.0,0.0,0.3141848,1.0,0.02192674732684322
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,61,0,2,1,2,1.0,60.0,1.0,0.2857097,1.0,0.021075711012829217
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,62,0,1,0,2,1.0,61.0,0.0,0.3165058,1.0,0.01566182643816842
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,63,0,1,1,2,1.0,62.0,1.0,0.2643834,1.0,0.01535487970310756
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,64,0,1,0,2,1.0,63.0,0.0,0.3872088,1.0,0.014758915330012263
